4NEC2 Output file:,/home/joea/.wine/drive_c/4nec2/out/owa_yagi_6el_circ.out
Zo:,50

THETA,PHI,VERT.,HOR.,TOTAL,AXIAL,TILT,SENSE,MAGNITUDE,PHASE,MAGNITUDE,PHASE
DEGREES,DEGREES,DB,DB,DB,RATIO,DEG.,VOLTS/M,DEGREES,VOLTS/M,DEGREES
-80.00,85.00,-5.31,-30.24,-5.30,0.00967,3.20,RIGHT,4.20552E-01,-112.59,2.38464E-02,-122.44
-75.00,85.00,-5.04,-30.16,-5.03,0.00879,3.14,RIGHT,4.33831E-01,-90.18,2.40719E-02,-99.32
-70.00,85.00,-4.85,-30.05,-4.83,0.00801,3.11,RIGHT,4.43712E-01,-68.18,2.43799E-02,-76.59
-65.00,85.00,-4.71,-29.91,-4.70,0.00730,3.12,RIGHT,4.50599E-01,-46.75,2.47624E-02,-54.42
-60.00,85.00,-4.63,-29.76,-4.62,0.00664,3.15,RIGHT,4.54894E-01,-26.07,2.52093E-02,-32.97
-55.00,85.00,-4.59,-29.59,-4.58,0.00599,3.20,RIGHT,4.56962E-01,-6.29,2.57082E-02,-12.42
-50.00,85.00,-4.59,-29.41,-4.57,0.00536,3.27,RIGHT,4.57092E-01,12.45,2.62444E-02,7.08
-45.00,85.00,-4.62,-29.23,-4.60,0.00474,3.36,RIGHT,4.55472E-01,30.01,2.68015E-02,25.38
-40.00,85.00,-4.68,-29.05,-4.67,0.00413,3.45,RIGHT,4.52165E-01,46.27,2.73612E-02,42.34
-35.00,85.00,-4.78,-28.88,-4.76,0.00354,3.57,RIGHT,4.47113E-01,61.11,2.79044E-02,57.84
-30.00,85.00,-4.92,-28.72,-4.90,0.00297,3.69,RIGHT,4.40137E-01,74.40,2.84115E-02,71.76
-25.00,85.00,-5.10,-28.58,-5.08,0.00241,3.83,RIGHT,4.30963E-01,86.07,2.88632E-02,83.99
-20.00,85.00,-5.34,-28.47,-5.32,0.00189,3.99,RIGHT,4.19251E-01,96.01,2.92415E-02,94.45
-15.00,85.00,-5.65,-28.38,-5.62,0.00138,4.17,RIGHT,4.04634E-01,104.15,2.95308E-02,103.06
-10.00,85.00,-6.04,-28.33,-6.01,0.00090,4.39,RIGHT,3.86756E-01,110.44,2.97182E-02,109.76
-5.00,85.00,-6.54,-28.31,-6.51,0.00044,4.66,RIGHT,3.65319E-01,114.81,2.97947E-02,114.50
0.00,85.00,-7.16,-28.32,-7.12,0.00000,5.00,LINEAR,3.40112E-01,117.26,2.97559E-02,117.26
-180.00,90.00,-7.12,-999.99,-7.12,0.00000,0.00,LINEAR,3.41408E-01,122.89,1.74235E-12,122.89
-175.00,90.00,-7.87,-999.99,-7.87,0.00000,0.00,LINEAR,3.13457E-01,123.62,1.73921E-12,123.92
-170.00,90.00,-8.79,-999.99,-8.79,0.00000,0.00,LINEAR,2.81652E-01,126.32,1.72991E-12,126.99
-165.00,90.00,-9.97,-999.99,-9.97,0.00000,0.00,LINEAR,2.46088E-01,130.95,1.71480E-12,132.07
-160.00,90.00,-11.47,-999.99,-11.47,0.00000,0.00,LINEAR,2.07006E-01,137.42,1.69446E-12,139.13
-155.00,90.00,-13.45,-999.99,-13.45,0.00000,0.00,LINEAR,1.64780E-01,145.53,1.66965E-12,148.12
-150.00,90.00,-16.21,-999.99,-16.21,0.00000,0.00,LINEAR,1.19927E-01,154.91,1.64124E-12,158.97
-145.00,90.00,-20.51,-999.99,-20.51,0.00000,0.00,LINEAR,7.31429E-02,164.26,1.61025E-12,171.58
-140.00,90.00,-29.49,-999.99,-29.49,0.00000,0.00,LINEAR,2.60115E-02,163.46,1.57771E-12,-174.13
-135.00,90.00,-29.11,-999.99,-29.11,0.00000,0.00,LINEAR,2.71578E-02,43.95,1.54467E-12,-158.28
-130.00,90.00,-20.29,-999.99,-20.29,0.00000,0.00,LINEAR,7.49719E-02,46.99,1.51217E-12,-140.99
-125.00,90.00,-16.00,-999.99,-16.00,0.00000,0.00,LINEAR,1.22934E-01,62.44,1.48115E-12,-122.39
-120.00,90.00,-13.21,-999.99,-13.21,0.00000,0.00,LINEAR,1.69444E-01,80.79,1.45248E-12,-102.63
-115.00,90.00,-11.19,-999.99,-11.19,0.00000,0.00,LINEAR,2.13692E-01,100.76,1.42693E-12,-81.86
-110.00,90.00,-9.66,-999.99,-9.66,0.00000,0.00,LINEAR,2.55014E-01,121.86,1.40515E-12,-60.24
-105.00,90.00,-8.46,-999.99,-8.46,0.00000,0.00,LINEAR,2.92865E-01,143.81,1.38767E-12,-37.95
-100.00,90.00,-7.50,-999.99,-7.50,0.00000,0.00,LINEAR,3.26824E-01,166.38,1.37490E-12,-15.14
-95.00,90.00,-6.75,-999.99,-6.75,0.00000,0.00,LINEAR,3.56611E-01,-170.64,1.36712E-12,8.00
-90.00,90.00,-6.15,-999.99,-6.15,0.00000,0.00,LINEAR,3.82096E-01,-147.45,1.36451E-12,31.30
-85.00,90.00,-5.68,-999.99,-5.68,0.00000,0.00,LINEAR,4.03295E-01,-124.23,1.36712E-12,54.57
-80.00,90.00,-5.32,-999.99,-5.32,0.00000,0.00,LINEAR,4.20362E-01,-101.17,1.37490E-12,77.65
-75.00,90.00,-5.05,-999.99,-5.05,0.00000,0.00,LINEAR,4.33571E-01,-78.45,1.38768E-12,100.36
-70.00,90.00,-4.86,-999.99,-4.86,0.00000,0.00,LINEAR,4.43282E-01,-56.27,1.40516E-12,122.52
-65.00,90.00,-4.73,-999.99,-4.73,0.00000,0.00,LINEAR,4.49906E-01,-34.78,1.42694E-12,143.97
-60.00,90.00,-4.65,-999.99,-4.65,0.00000,0.00,LINEAR,4.53865E-01,-14.17,1.45249E-12,164.56
-55.00,90.00,-4.62,-999.99,-4.62,0.00000,0.00,LINEAR,4.55551E-01,5.41,1.48115E-12,-175.89
-50.00,90.00,-4.62,-999.99,-4.62,0.00000,0.00,LINEAR,4.55289E-01,23.81,1.51218E-12,-157.50
-45.00,90.00,-4.66,-999.99,-4.66,0.00000,0.00,LINEAR,4.53304E-01,40.88,1.54468E-12,-140.42
-40.00,90.00,-4.73,-999.99,-4.73,0.00000,0.00,LINEAR,4.49705E-01,56.48,1.57772E-12,-124.78
-35.00,90.00,-4.83,-999.99,-4.83,0.00000,0.00,LINEAR,4.44477E-01,70.51,1.61026E-12,-110.69
-30.00,90.00,-4.97,-999.99,-4.97,0.00000,0.00,LINEAR,4.37482E-01,82.85,1.64126E-12,-98.26
-25.00,90.00,-5.15,-999.99,-5.15,0.00000,0.00,LINEAR,4.28476E-01,93.42,1.66966E-12,-87.58
-20.00,90.00,-5.38,-999.99,-5.38,0.00000,0.00,LINEAR,4.17141E-01,102.13,1.69448E-12,-78.73
-15.00,90.00,-5.68,-999.99,-5.68,0.00000,0.00,LINEAR,4.03113E-01,108.91,1.71482E-12,-71.77
-10.00,90.00,-6.06,-999.99,-6.06,0.00000,0.00,LINEAR,3.86026E-01,113.72,1.72992E-12,-66.77
-5.00,90.00,-6.53,-999.99,-6.53,0.00000,0.00,LINEAR,3.65546E-01,116.51,1.73922E-12,-63.75
0.00,90.00,-7.12,-999.99,-7.12,0.00000,0.00,LINEAR,3.41411E-01,117.26,1.74236E-12,-62.74
-180.00,95.00,-7.16,-28.32,-7.12,0.00000,5.00,LINEAR,3.40109E-01,122.89,2.97557E-02,122.89
-175.00,95.00,-7.93,-28.36,-7.89,0.00041,5.44,LEFT,3.11042E-01,125.43,2.96015E-02,125.68
-170.00,95.00,-8.90,-28.44,-8.85,0.00075,6.02,LEFT,2.78163E-01,130.10,2.93368E-02,130.51
-165.00,95.00,-10.12,-28.55,-10.06,0.00093,6.84,LEFT,2.41663E-01,136.91,2.89705E-02,137.36
-160.00,95.00,-11.69,-28.69,-11.60,0.00069,8.04,LEFT,2.01882E-01,145.89,2.85156E-02,146.17
-155.00,95.00,-13.74,-28.85,-13.61,0.00078,9.97,RIGHT,1.59295E-01,157.15,2.79881E-02,156.89
-150.00,95.00,-16.61,-29.03,-16.37,0.00662,13.45,RIGHT,1.14521E-01,171.09,2.74059E-02,169.42
-145.00,95.00,-21.09,-29.23,-20.47,0.03405,21.31,RIGHT,6.84158E-02,-170.58,2.67885E-02,-176.33
-140.00,95.00,-30.32,-29.44,-26.85,0.25076,48.30,RIGHT,2.36259E-02,-132.15,2.61554E-02,-160.46
-135.00,95.00,-27.90,-29.65,-25.68,0.27559,-38.31,RIGHT,3.12179E-02,5.37,2.55254E-02,-143.11
-130.00,95.00,-20.10,-29.86,-19.66,0.08509,-17.42,RIGHT,7.66798E-02,38.87,2.49162E-02,-124.42
-125.00,95.00,-16.04,-30.06,-15.87,0.04418,-10.99,RIGHT,1.22289E-01,62.15,2.43438E-02,-104.53
-120.00,95.00,-13.37,-30.25,-13.29,0.02909,-7.99,RIGHT,1.66255E-01,84.44,2.38220E-02,-83.62
-115.00,95.00,-11.43,-30.42,-11.38,0.02165,-6.29,RIGHT,2.07830E-01,106.93,2.33624E-02,-61.83
-110.00,95.00,-9.95,-30.56,-9.92,0.01729,-5.23,RIGHT,2.46460E-01,129.86,2.29745E-02,-39.36
-105.00,95.00,-8.79,-30.68,-8.76,0.01443,-4.53,RIGHT,2.81722E-01,153.21,2.26656E-02,-16.38
-100.00,95.00,-7.87,-30.77,-7.85,0.01240,-4.04,RIGHT,3.13317E-01,176.90,2.24413E-02,6.92
-95.00,95.00,-7.13,-30.82,-7.11,0.01084,-3.69,RIGHT,3.41069E-01,-159.23,2.23053E-02,30.36
-90.00,95.00,-6.54,-30.84,-6.53,0.00959,-3.45,RIGHT,3.64927E-01,-135.32,2.22597E-02,53.75
-85.00,95.00,-6.08,-30.82,-6.07,0.00852,-3.28,RIGHT,3.84960E-01,-111.55,2.23053E-02,76.93
-80.00,95.00,-5.72,-30.77,-5.71,0.00757,-3.17,RIGHT,4.01341E-01,-88.10,2.24414E-02,99.71
-75.00,95.00,-5.44,-30.68,-5.43,0.00670,-3.11,RIGHT,4.14330E-01,-65.13,2.26657E-02,121.92
-70.00,95.00,-5.24,-30.56,-5.22,0.00587,-3.08,RIGHT,4.24251E-01,-42.84,2.29746E-02,143.40
-65.00,95.00,-5.09,-30.42,-5.08,0.00507,-3.09,RIGHT,4.31456E-01,-21.39,2.33626E-02,164.00
-60.00,95.00,-4.99,-30.25,-4.98,0.00430,-3.12,RIGHT,4.36301E-01,-0.96,2.38222E-02,-176.43
-55.00,95.00,-4.94,-30.06,-4.92,0.00355,-3.17,RIGHT,4.39104E-01,18.29,2.43441E-02,-158.03
-50.00,95.00,-4.92,-29.86,-4.90,0.00283,-3.24,RIGHT,4.40122E-01,36.19,2.49165E-02,-140.94
-45.00,95.00,-4.93,-29.65,-4.91,0.00215,-3.32,RIGHT,4.39525E-01,52.61,2.55257E-02,-125.26
-40.00,95.00,-4.97,-29.44,-4.96,0.00153,-3.42,RIGHT,4.37376E-01,67.42,2.61557E-02,-111.11
-35.00,95.00,-5.05,-29.23,-5.03,0.00097,-3.53,RIGHT,4.33625E-01,80.49,2.67888E-02,-98.60
-30.00,95.00,-5.16,-29.03,-5.14,0.00050,-3.66,RIGHT,4.28111E-01,91.75,2.74062E-02,-87.81
-25.00,95.00,-5.31,-28.85,-5.29,0.00011,-3.81,RIGHT,4.20575E-01,101.09,2.79884E-02,-78.81
-20.00,95.00,-5.52,-28.69,-5.50,0.00017,-3.97,LEFT,4.10682E-01,108.45,2.85159E-02,-71.69
-15.00,95.00,-5.79,-28.55,-5.77,0.00035,-4.16,LEFT,3.98054E-01,113.79,2.89708E-02,-66.48
-10.00,95.00,-6.14,-28.44,-6.12,0.00040,-4.39,LEFT,3.82306E-01,117.06,2.93371E-02,-63.24
-5.00,95.00,-6.59,-28.36,-6.56,0.00030,-4.66,LEFT,3.63086E-01,118.22,2.96018E-02,-61.99
0.00,95.00,-7.16,-28.32,-7.12,0.00000,-5.00,LINEAR,3.40112E-01,117.26,2.97559E-02,-62.74
-180.00,100.00,-7.26,-22.33,-7.12,0.00000,10.00,LINEAR,3.36221E-01,122.89,5.92849E-02,122.89
-175.00,100.00,-8.07,-22.41,-7.92,0.00062,10.87,LEFT,3.06010E-01,127.25,5.87632E-02,127.44
-170.00,100.00,-9.10,-22.52,-8.91,0.00054,12.03,LEFT,2.71966E-01,133.92,5.79802E-02,134.08
-165.00,100.00,-10.39,-22.68,-10.14,0.00094,13.65,RIGHT,2.34492E-01,142.99,5.69639E-02,142.76
-160.00,100.00,-12.02,-22.86,-11.68,0.00556,16.02,RIGHT,1.94182E-01,154.63,5.57525E-02,153.43
-155.00,100.00,-14.16,-23.08,-13.64,0.01811,19.69,RIGHT,1.51839E-01,169.29,5.43916E-02,166.02
-150.00,100.00,-17.07,-23.31,-16.15,0.05353,25.85,RIGHT,1.08614E-01,-171.77,5.29312E-02,-179.56
-145.00,100.00,-21.29,-23.57,-19.27,0.16511,37.16,RIGHT,6.67998E-02,-144.00,5.14227E-02,-163.42
-140.00,100.00,-26.63,-23.82,-21.99,0.51635,61.33,RIGHT,3.61285E-02,-86.57,4.99158E-02,-145.70
-135.00,100.00,-24.17,-24.08,-21.12,0.56030,-45.57,RIGHT,4.79566E-02,-5.07,4.84554E-02,-126.54
-130.00,100.00,-19.24,-24.33,-18.07,0.27909,-25.97,RIGHT,8.46421E-02,36.33,4.70804E-02,-106.11
-125.00,100.00,-15.91,-24.57,-15.36,0.16871,-18.21,RIGHT,1.24138E-01,65.07,4.58223E-02,-84.60
-120.00,100.00,-13.57,-24.78,-13.26,0.11765,-13.97,RIGHT,1.62498E-01,90.83,4.47047E-02,-62.19
-115.00,100.00,-11.83,-24.97,-11.62,0.08981,-11.37,RIGHT,1.98591E-01,115.82,4.37443E-02,-39.08
-110.00,100.00,-10.48,-25.13,-10.34,0.07270,-9.67,RIGHT,2.31907E-01,140.70,4.29517E-02,-15.48
-105.00,100.00,-9.42,-25.26,-9.31,0.06118,-8.50,RIGHT,2.62181E-01,165.61,4.23327E-02,8.40
-100.00,100.00,-8.56,-25.35,-8.47,0.05286,-7.68,RIGHT,2.89297E-01,-169.46,4.18900E-02,32.36
-95.00,100.00,-7.87,-25.40,-7.80,0.04647,-7.10,RIGHT,3.13247E-01,-144.60,4.16244E-02,56.20
-90.00,100.00,-7.31,-25.42,-7.24,0.04129,-6.69,RIGHT,3.34106E-01,-119.94,4.15359E-02,79.73
-85.00,100.00,-6.86,-25.40,-6.80,0.03690,-6.41,RIGHT,3.52018E-01,-95.64,4.16245E-02,102.78
-80.00,100.00,-6.49,-25.35,-6.44,0.03301,-6.23,RIGHT,3.67177E-01,-71.88,4.18902E-02,125.15
-75.00,100.00,-6.20,-25.26,-6.14,0.02946,-6.14,RIGHT,3.79817E-01,-48.81,4.23330E-02,146.70
-70.00,100.00,-5.96,-25.13,-5.91,0.02612,-6.10,RIGHT,3.90188E-01,-26.61,4.29521E-02,167.28
-65.00,100.00,-5.78,-24.97,-5.73,0.02293,-6.13,RIGHT,3.98541E-01,-5.45,4.37448E-02,-173.25
-60.00,100.00,-5.64,-24.78,-5.58,0.01985,-6.20,RIGHT,4.05108E-01,14.51,4.47052E-02,-155.01
-55.00,100.00,-5.53,-24.57,-5.48,0.01688,-6.30,RIGHT,4.10082E-01,33.11,4.58228E-02,-138.10
-50.00,100.00,-5.46,-24.33,-5.40,0.01402,-6.45,RIGHT,4.13591E-01,50.20,4.70810E-02,-122.63
-45.00,100.00,-5.41,-24.08,-5.36,0.01132,-6.62,RIGHT,4.15689E-01,65.67,4.84561E-02,-108.69
-40.00,100.00,-5.40,-23.82,-5.34,0.00880,-6.82,RIGHT,4.16333E-01,79.38,4.99165E-02,-96.35
-35.00,100.00,-5.42,-23.57,-5.35,0.00652,-7.05,RIGHT,4.15382E-01,91.24,5.14234E-02,-85.69
-30.00,100.00,-5.48,-23.31,-5.41,0.00450,-7.31,RIGHT,4.12595E-01,101.17,5.29319E-02,-76.78
-25.00,100.00,-5.58,-23.08,-5.51,0.00278,-7.60,RIGHT,4.07641E-01,109.11,5.43923E-02,-69.68
-20.00,100.00,-5.75,-22.86,-5.66,0.00139,-7.93,RIGHT,4.00125E-01,114.99,5.57532E-02,-64.43
-15.00,100.00,-5.98,-22.68,-5.88,0.00035,-8.32,RIGHT,3.89616E-01,118.77,5.69646E-02,-61.09
-10.00,100.00,-6.29,-22.52,-6.19,0.00029,-8.77,LEFT,3.75693E-01,120.43,5.79809E-02,-59.68
-5.00,100.00,-6.71,-22.41,-6.60,0.00046,-9.32,LEFT,3.57985E-01,119.94,5.87638E-02,-60.22
0.00,100.00,-7.26,-22.33,-7.12,0.00000,-10.00,LINEAR,3.36224E-01,117.26,5.92854E-02,-62.74
-180.00,105.00,-7.42,-18.86,-7.12,0.00000,15.00,LINEAR,3.29775E-01,122.89,8.83629E-02,122.89
-175.00,105.00,-8.29,-18.97,-7.94,0.00064,16.30,LEFT,2.98433E-01,129.06,8.72476E-02,129.19
-170.00,105.00,-9.38,-19.14,-8.95,0.00058,18.02,RIGHT,2.63193E-01,137.76,8.56404E-02,137.65
-165.00,105.00,-10.75,-19.34,-10.19,0.00542,20.40,RIGHT,2.24783E-01,149.19,8.36070E-02,148.24
-160.00,105.00,-12.48,-19.59,-11.71,0.01791,23.78,RIGHT,1.84202E-01,163.69,8.12376E-02,160.91
-155.00,105.00,-14.69,-19.88,-13.54,0.04783,28.76,RIGHT,1.42797E-01,-177.93,7.86401E-02,175.59
-150.00,105.00,-17.56,-20.18,-15.67,0.11925,36.24,RIGHT,1.02624E-01,-153.58,7.59320E-02,-167.82
-145.00,105.00,-21.13,-20.50,-17.79,0.28615,47.45,RIGHT,6.80921E-02,-117.40,7.32305E-02,-149.44
-140.00,105.00,-23.54,-20.81,-18.95,0.62045,66.68,RIGHT,5.15581E-02,-59.24,7.06434E-02,-129.42
-135.00,105.00,-21.48,-21.11,-18.28,0.71905,-48.89,RIGHT,6.53815E-02,0.44,6.82601E-02,-107.96
-130.00,105.00,-18.26,-21.38,-16.53,0.45629,-29.14,RIGHT,9.47438E-02,41.15,6.61457E-02,-85.28
-125.00,105.00,-15.70,-21.62,-14.71,0.31549,-21.85,RIGHT,1.27121E-01,72.99,6.43379E-02,-61.60
-120.00,105.00,-13.77,-21.82,-13.14,0.23758,-17.64,RIGHT,1.58769E-01,101.72,6.28482E-02,-37.19
-115.00,105.00,-12.28,-21.99,-11.84,0.19010,-14.93,RIGHT,1.88530E-01,129.31,6.16662E-02,-12.31
-110.00,105.00,-11.10,-22.12,-10.77,0.15861,-13.09,RIGHT,2.16003E-01,156.40,6.07661E-02,12.80
-105.00,105.00,-10.15,-22.21,-9.88,0.13619,-11.81,RIGHT,2.41061E-01,-176.83,6.01148E-02,37.89
-100.00,105.00,-9.37,-22.27,-9.15,0.11925,-10.89,RIGHT,2.63692E-01,-150.38,5.96785E-02,62.72
-95.00,105.00,-8.72,-22.31,-8.54,0.10580,-10.24,RIGHT,2.83930E-01,-124.35,5.94291E-02,87.10
-90.00,105.00,-8.19,-22.32,-8.03,0.09462,-9.78,RIGHT,3.01848E-01,-98.89,5.93481E-02,110.81
-85.00,105.00,-7.75,-22.31,-7.60,0.08496,-9.47,RIGHT,3.17553E-01,-74.14,5.94292E-02,133.67
-80.00,105.00,-7.39,-22.27,-7.25,0.07633,-9.27,RIGHT,3.31193E-01,-50.26,5.96787E-02,155.52
-75.00,105.00,-7.08,-22.21,-6.95,0.06839,-9.17,RIGHT,3.42959E-01,-27.41,6.01152E-02,176.19
-70.00,105.00,-6.83,-22.12,-6.70,0.06092,-9.14,RIGHT,3.53073E-01,-5.73,6.07667E-02,-164.44
-65.00,105.00,-6.62,-21.99,-6.50,0.05375,-9.19,RIGHT,3.61771E-01,14.64,6.16669E-02,-146.48
-60.00,105.00,-6.44,-21.82,-6.32,0.04684,-9.29,RIGHT,3.69275E-01,33.58,6.28490E-02,-130.01
-55.00,105.00,-6.29,-21.62,-6.17,0.04014,-9.45,RIGHT,3.75758E-01,50.96,6.43388E-02,-115.10
-50.00,105.00,-6.16,-21.38,-6.03,0.03371,-9.66,RIGHT,3.81315E-01,66.68,6.61467E-02,-101.79
-45.00,105.00,-6.06,-21.11,-5.92,0.02759,-9.91,RIGHT,3.85936E-01,80.64,6.82612E-02,-90.11
-40.00,105.00,-5.98,-20.81,-5.84,0.02188,-10.21,RIGHT,3.89485E-01,92.77,7.06446E-02,-80.07
-35.00,105.00,-5.93,-20.50,-5.78,0.01666,-10.55,RIGHT,3.91695E-01,103.00,7.32317E-02,-71.71
-30.00,105.00,-5.92,-20.18,-5.76,0.01201,-10.94,RIGHT,3.92176E-01,111.27,7.59332E-02,-65.04
-25.00,105.00,-5.96,-19.88,-5.79,0.00800,-11.38,RIGHT,3.90436E-01,117.52,7.86413E-02,-60.11
-20.00,105.00,-6.06,-19.59,-5.87,0.00467,-11.88,RIGHT,3.85919E-01,121.72,8.12388E-02,-56.95
-15.00,105.00,-6.24,-19.34,-6.03,0.00208,-12.47,RIGHT,3.78058E-01,123.83,8.36081E-02,-55.60
-10.00,105.00,-6.51,-19.14,-6.28,0.00031,-13.16,RIGHT,3.66329E-01,123.82,8.56414E-02,-56.10
-5.00,105.00,-6.90,-18.97,-6.64,0.00048,-13.99,LEFT,3.50319E-01,121.64,8.72485E-02,-58.47
0.00,105.00,-7.42,-18.86,-7.12,0.00000,-15.00,LINEAR,3.29778E-01,117.26,8.83637E-02,-62.74
-180.00,110.00,-7.66,-16.44,-7.12,0.00000,20.00,LINEAR,3.20819E-01,122.89,1.16768E-01,122.89
-175.00,110.00,-8.59,-16.59,-7.95,0.00048,21.71,LEFT,2.88406E-01,130.84,1.14830E-01,130.92
-170.00,110.00,-9.76,-16.80,-8.98,0.00253,23.97,RIGHT,2.52013E-01,141.61,1.12059E-01,141.22
-165.00,110.00,-11.23,-17.07,-10.22,0.01211,27.03,RIGHT,2.12805E-01,155.50,1.08592E-01,153.79
-160.00,110.00,-13.06,-17.40,-11.70,0.03477,31.23,RIGHT,1.72336E-01,173.10,1.04628E-01,168.61
-155.00,110.00,-15.33,-17.75,-13.37,0.08397,37.00,RIGHT,1.32687E-01,-164.39,1.00407E-01,-174.37
-150.00,110.00,-18.05,-18.13,-15.08,0.18481,44.73,RIGHT,9.70593E-02,-134.28,9.61978E-02,-155.22
-145.00,110.00,-20.69,-18.49,-16.44,0.37223,54.59,RIGHT,7.15677E-02,-91.65,9.22648E-02,-134.11
-140.00,110.00,-21.41,-18.82,-16.91,0.66343,69.12,RIGHT,6.59118E-02,-36.92,8.88410E-02,-111.23
-135.00,110.00,-19.64,-19.09,-16.35,0.82966,-55.03,RIGHT,8.08056E-02,13.15,8.60940E-02,-86.86
-130.00,110.00,-17.34,-19.29,-15.20,0.61099,-30.52,RIGHT,1.05286E-01,52.83,8.41045E-02,-61.34
-125.00,110.00,-15.36,-19.42,-13.92,0.46379,-23.75,RIGHT,1.32290E-01,86.92,8.28583E-02,-35.04
-120.00,110.00,-13.74,-19.49,-12.72,0.37113,-20.08,RIGHT,1.59353E-01,118.54,8.22590E-02,-8.30
-115.00,110.00,-12.41,-19.50,-11.64,0.30857,-17.75,RIGHT,1.85689E-01,148.93,8.21542E-02,18.53
-110.00,110.00,-11.30,-19.47,-10.69,0.26344,-16.16,RIGHT,2.10969E-01,178.54,8.23684E-02,45.19
-105.00,110.00,-10.37,-19.44,-9.86,0.22911,-15.02,RIGHT,2.34890E-01,-152.57,8.27316E-02,71.43
-100.00,110.00,-9.59,-19.40,-9.16,0.20195,-14.20,RIGHT,2.57066E-01,-124.46,8.30992E-02,97.07
-95.00,110.00,-8.94,-19.37,-8.56,0.17978,-13.58,RIGHT,2.77059E-01,-97.23,8.33635E-02,121.91
-90.00,110.00,-8.41,-19.36,-8.07,0.16122,-13.13,RIGHT,2.94473E-01,-71.03,8.34590E-02,145.77
-85.00,110.00,-7.99,-19.37,-7.68,0.14528,-12.81,RIGHT,3.09055E-01,-45.98,8.33636E-02,168.48
-80.00,110.00,-7.67,-19.40,-7.38,0.13121,-12.60,RIGHT,3.20766E-01,-22.23,8.30994E-02,-170.14
-75.00,110.00,-7.42,-19.44,-7.16,0.11840,-12.48,RIGHT,3.29811E-01,0.08,8.27320E-02,-150.26
-70.00,110.00,-7.25,-19.47,-6.99,0.10640,-12.43,RIGHT,3.36617E-01,20.84,8.23689E-02,-132.05
-65.00,110.00,-7.11,-19.50,-6.87,0.09486,-12.46,RIGHT,3.41770E-01,39.92,8.21548E-02,-115.64
-60.00,110.00,-7.01,-19.49,-6.77,0.08356,-12.55,RIGHT,3.45920E-01,57.24,8.22598E-02,-101.12
-55.00,110.00,-6.92,-19.42,-6.68,0.07240,-12.72,RIGHT,3.49673E-01,72.74,8.28594E-02,-88.54
-50.00,110.00,-6.82,-19.29,-6.58,0.06143,-12.95,RIGHT,3.53475E-01,86.37,8.41058E-02,-77.86
-45.00,110.00,-6.72,-19.09,-6.48,0.05079,-13.25,RIGHT,3.57531E-01,98.13,8.60955E-02,-69.01
-40.00,110.00,-6.62,-18.82,-6.37,0.04070,-13.62,RIGHT,3.61744E-01,108.02,8.88426E-02,-61.88
-35.00,110.00,-6.53,-18.49,-6.26,0.03137,-14.05,RIGHT,3.65713E-01,116.03,9.22665E-02,-56.38
-30.00,110.00,-6.45,-18.13,-6.17,0.02299,-14.57,RIGHT,3.68775E-01,122.15,9.61995E-02,-52.45
-25.00,110.00,-6.42,-17.75,-6.11,0.01570,-15.16,RIGHT,3.70080E-01,126.37,1.00409E-01,-50.07
-20.00,110.00,-6.46,-17.40,-6.12,0.00961,-15.83,RIGHT,3.68699E-01,128.65,1.04630E-01,-49.25
-15.00,110.00,-6.57,-17.07,-6.20,0.00480,-16.62,RIGHT,3.63729E-01,128.94,1.08594E-01,-50.06
-10.00,110.00,-6.80,-16.80,-6.39,0.00139,-17.55,RIGHT,3.54403E-01,127.19,1.12060E-01,-52.54
-5.00,110.00,-7.15,-16.59,-6.69,0.00036,-18.65,LEFT,3.40182E-01,123.32,1.14831E-01,-56.75
0.00,110.00,-7.66,-16.44,-7.12,0.00000,-20.00,LINEAR,3.20822E-01,117.26,1.16770E-01,-62.74
-180.00,115.00,-7.98,-14.60,-7.12,0.00000,25.00,LINEAR,3.09421E-01,122.89,1.44285E-01,122.89
-175.00,115.00,-8.97,-14.79,-7.96,0.00017,27.11,LEFT,2.76045E-01,132.58,1.41301E-01,132.60
-170.00,115.00,-10.23,-15.05,-9.00,0.00518,29.86,RIGHT,2.38624E-01,145.43,1.37014E-01,144.75
-165.00,115.00,-11.82,-15.40,-10.24,0.02049,33.50,RIGHT,1.98871E-01,161.92,1.31696E-01,159.37
-160.00,115.00,-13.76,-15.80,-11.65,0.05431,38.29,RIGHT,1.59041E-01,-177.08,1.25753E-01,176.53
-155.00,115.00,-16.05,-16.23,-13.13,0.12134,44.41,RIGHT,1.22126E-01,-149.95,1.19707E-01,-163.79
-150.00,115.00,-18.46,-16.64,-14.45,0.24133,51.73,RIGHT,9.25135E-02,-113.87,1.14151E-01,-141.66
-145.00,115.00,-20.10,-16.99,-15.26,0.42838,59.92,RIGHT,7.66812E-02,-66.86,1.09675E-01,-117.28
-140.00,115.00,-19.82,-17.22,-15.32,0.67370,70.29,RIGHT,7.91810E-02,-15.46,1.06751E-01,-91.03
-135.00,115.00,-18.18,-17.31,-14.72,0.88647,-73.18,RIGHT,9.55567E-02,30.40,1.05624E-01,-63.43
-130.00,115.00,-16.30,-17.26,-13.74,0.74767,-33.50,RIGHT,1.18726E-01,70.12,1.06254E-01,-35.06
-125.00,115.00,-14.55,-17.09,-12.63,0.60221,-26.22,RIGHT,1.45258E-01,106.28,1.08335E-01,-6.48
