4NEC2 Output file:,/home/joea/.wine/drive_c/4nec2/out/owa_yagi_6el_circ.out
Zo:,50

THETA,PHI,VERT.,HOR.,TOTAL,AXIAL,TILT,SENSE,MAGNITUDE,PHASE,MAGNITUDE,PHASE
DEGREES,DEGREES,DB,DB,DB,RATIO,DEG.,VOLTS/M,DEGREES,VOLTS/M,DEGREES
-135.00,5.00,-18.98,-12.49,-11.61,0.41068,76.49,RIGHT,8.71426E-02,-53.25,1.84023E-01,-118.55
-130.00,5.00,-19.52,-13.51,-12.54,0.44537,76.79,RIGHT,8.19167E-02,-38.70,1.63614E-01,-106.88
-125.00,5.00,-20.21,-14.46,-13.44,0.47481,78.20,RIGHT,7.56866E-02,-18.18,1.46631E-01,-90.10
-120.00,5.00,-20.77,-15.19,-14.13,0.50424,81.18,RIGHT,7.09556E-02,8.84,1.34905E-01,-68.53
-115.00,5.00,-20.80,-15.53,-14.40,0.54067,85.65,RIGHT,7.07417E-02,40.90,1.29674E-01,-43.44
-110.00,5.00,-20.14,-15.48,-14.20,0.58457,-89.22,RIGHT,7.63013E-02,74.07,1.30495E-01,-16.81
-105.00,5.00,-19.13,-15.17,-13.70,0.62766,-84.45,RIGHT,8.57068E-02,105.05,1.35192E-01,9.74
-100.00,5.00,-18.19,-14.81,-13.17,0.66156,-80.78,RIGHT,9.54648E-02,133.11,1.40949E-01,35.45
-95.00,5.00,-17.57,-14.54,-12.79,0.68292,-78.68,RIGHT,1.02511E-01,158.76,1.45388E-01,60.21
-90.00,5.00,-17.37,-14.44,-12.65,0.69145,-78.48,RIGHT,1.04955E-01,-177.58,1.47031E-01,84.01
-85.00,5.00,-17.60,-14.54,-12.79,0.68668,-80.25,RIGHT,1.02205E-01,-155.90,1.45387E-01,106.78
-80.00,5.00,-18.24,-14.81,-13.18,0.66693,-83.81,RIGHT,9.49889E-02,-136.66,1.40948E-01,128.24
-75.00,5.00,-19.16,-15.17,-13.71,0.63106,-88.73,RIGHT,8.53582E-02,-120.74,1.35191E-01,148.04
-70.00,5.00,-20.11,-15.48,-14.19,0.58236,85.59,RIGHT,7.65809E-02,-109.02,1.30493E-01,165.95
-65.00,5.00,-20.60,-15.53,-14.36,0.53073,79.83,RIGHT,7.23193E-02,-100.85,1.29671E-01,-177.61
-60.00,5.00,-20.35,-15.19,-14.03,0.48665,74.89,RIGHT,7.44327E-02,-92.88,1.34902E-01,-161.34
-55.00,5.00,-19.57,-14.46,-13.30,0.45135,71.50,RIGHT,8.14632E-02,-81.57,1.46628E-01,-143.60
-50.00,5.00,-18.67,-13.51,-12.36,0.41851,69.66,RIGHT,9.03847E-02,-66.11,1.63610E-01,-123.40
-45.00,5.00,-17.89,-12.49,-11.39,0.38282,68.94,RIGHT,9.88456E-02,-47.47,1.84019E-01,-100.69
-40.00,5.00,-17.31,-11.49,-10.48,0.34244,68.87,RIGHT,1.05657E-01,-26.91,2.06396E-01,-76.00
-35.00,5.00,-16.94,-10.56,-9.66,0.29729,69.17,RIGHT,1.10325E-01,-5.55,2.29952E-01,-50.01
-30.00,5.00,-16.77,-9.68,-8.91,0.24782,69.78,RIGHT,1.12447E-01,15.67,2.54347E-01,-23.48
-25.00,5.00,-16.86,-8.87,-8.23,0.19510,70.77,RIGHT,1.11309E-01,35.99,2.79147E-01,2.88
-20.00,5.00,-17.30,-8.15,-7.65,0.14139,72.28,RIGHT,1.05851E-01,54.88,3.03253E-01,28.43
-15.00,5.00,-18.23,-7.56,-7.21,0.09028,74.44,RIGHT,9.50011E-02,72.12,3.24552E-01,52.72
-10.00,5.00,-19.93,-7.16,-6.94,0.04637,77.30,RIGHT,7.81974E-02,87.76,3.39995E-01,75.54
-5.00,5.00,-22.84,-7.00,-6.89,0.01469,80.87,RIGHT,5.58783E-02,102.27,3.46139E-01,96.92
0.00,5.00,-28.32,-7.16,-7.12,0.00000,85.00,LINEAR,2.97559E-02,117.26,3.40112E-01,117.26
-180.00,10.00,-22.33,-7.26,-7.12,0.00000,-80.00,LINEAR,5.92849E-02,122.89,3.36221E-01,-57.11
-175.00,10.00,-26.91,-7.10,-7.06,0.01498,-84.22,RIGHT,3.50086E-02,96.29,3.42172E-01,-75.20
-170.00,10.00,-31.83,-7.25,-7.24,0.04883,-88.10,RIGHT,1.98680E-02,33.86,3.36311E-01,-90.30
-165.00,10.00,-27.60,-7.65,-7.60,0.09758,88.60,RIGHT,3.23271E-02,-26.75,3.21380E-01,-102.82
-160.00,10.00,-23.58,-8.23,-8.10,0.15566,85.97,RIGHT,5.13631E-02,-46.61,3.00686E-01,-112.91
-155.00,10.00,-21.28,-8.93,-8.69,0.21727,84.00,RIGHT,6.68816E-02,-54.95,2.77184E-01,-120.45
-150.00,10.00,-19.99,-9.73,-9.34,0.27762,82.55,RIGHT,7.75716E-02,-58.28,2.52953E-01,-125.14
-145.00,10.00,-19.33,-10.59,-10.04,0.33365,81.46,RIGHT,8.37218E-02,-57.93,2.29106E-01,-126.57
-140.00,10.00,-19.10,-11.51,-10.81,0.38381,80.61,RIGHT,8.59581E-02,-53.91,2.06090E-01,-124.22
-135.00,10.00,-19.21,-12.48,-11.65,0.42726,80.03,RIGHT,8.48737E-02,-45.70,1.84214E-01,-117.63
-130.00,10.00,-19.60,-13.48,-12.53,0.46347,79.96,RIGHT,8.11663E-02,-32.57,1.64142E-01,-106.35
-125.00,10.00,-20.16,-14.44,-13.41,0.49324,80.85,RIGHT,7.60948E-02,-13.72,1.47116E-01,-90.17
-120.00,10.00,-20.66,-15.20,-14.11,0.52074,83.17,RIGHT,7.18549E-02,11.28,1.34736E-01,-69.33
-115.00,10.00,-20.75,-15.63,-14.47,0.55255,86.95,RIGHT,7.11292E-02,41.27,1.28188E-01,-44.90
-110.00,10.00,-20.25,-15.69,-14.39,0.59107,-88.52,RIGHT,7.52987E-02,73.00,1.27287E-01,-18.63
-105.00,10.00,-19.40,-15.49,-14.01,0.63078,-84.28,RIGHT,8.30399E-02,103.27,1.30278E-01,7.86
-100.00,10.00,-18.57,-15.20,-13.56,0.66409,-81.17,RIGHT,9.13655E-02,130.95,1.34674E-01,33.67
-95.00,10.00,-18.01,-14.98,-13.22,0.68675,-79.74,RIGHT,9.74434E-02,156.21,1.38258E-01,58.53
-90.00,10.00,-17.83,-14.89,-13.11,0.69702,-80.32,RIGHT,9.94837E-02,179.35,1.39612E-01,82.38
-85.00,10.00,-18.06,-14.98,-13.24,0.69305,-82.98,RIGHT,9.69668E-02,-159.70,1.38257E-01,105.10
-80.00,10.00,-18.64,-15.20,-13.58,0.67221,-87.42,RIGHT,9.06906E-02,-141.43,1.34673E-01,126.46
-75.00,10.00,-19.43,-15.49,-14.02,0.63355,87.01,RIGHT,8.27708E-02,-126.65,1.30276E-01,146.17
-70.00,10.00,-20.12,-15.69,-14.36,0.58177,81.00,RIGHT,7.64205E-02,-115.82,1.27285E-01,164.14
-65.00,10.00,-20.30,-15.63,-14.36,0.52784,75.27,RIGHT,7.48708E-02,-107.64,1.28186E-01,-179.07
-60.00,10.00,-19.81,-15.20,-13.91,0.48148,70.58,RIGHT,7.92725E-02,-98.73,1.34734E-01,-162.15
-55.00,10.00,-18.90,-14.44,-13.11,0.44322,67.41,RIGHT,8.79570E-02,-86.42,1.47113E-01,-143.67
-50.00,10.00,-17.94,-13.48,-12.15,0.40756,65.66,RIGHT,9.82831E-02,-70.41,1.64138E-01,-122.87
-45.00,10.00,-17.10,-12.48,-11.19,0.37005,64.91,RIGHT,1.08318E-01,-51.62,1.84210E-01,-99.77
-40.00,10.00,-16.42,-11.51,-10.29,0.32902,64.75,RIGHT,1.17098E-01,-31.15,2.06085E-01,-74.88
-35.00,10.00,-15.91,-10.59,-9.47,0.28428,64.96,RIGHT,1.24204E-01,-9.96,2.29101E-01,-48.84
-30.00,10.00,-15.56,-9.73,-8.72,0.23611,65.47,RIGHT,1.29209E-01,11.14,2.52948E-01,-22.37
-25.00,10.00,-15.42,-8.93,-8.05,0.18549,66.37,RIGHT,1.31289E-01,31.47,2.77179E-01,3.85
-20.00,10.00,-15.57,-8.23,-7.49,0.13443,67.77,RIGHT,1.29158E-01,50.59,3.00682E-01,29.23
-15.00,10.00,-16.11,-7.65,-7.07,0.08608,69.80,RIGHT,1.21378E-01,68.32,3.21378E-01,53.34
-10.00,10.00,-17.21,-7.25,-6.84,0.04448,72.53,RIGHT,1.06916E-01,84.80,3.36310E-01,75.95
-5.00,10.00,-19.13,-7.10,-6.84,0.01424,75.95,RIGHT,8.57424E-02,100.59,3.42173E-01,97.13
0.00,10.00,-22.33,-7.26,-7.12,0.00000,80.00,LINEAR,5.92854E-02,117.26,3.36224E-01,117.26
-180.00,15.00,-18.86,-7.42,-7.12,0.00000,-75.00,LINEAR,8.83629E-02,122.89,3.29775E-01,-57.11
-175.00,15.00,-21.63,-7.27,-7.12,0.01470,-79.19,RIGHT,6.42775E-02,100.59,3.35591E-01,-74.85
-170.00,15.00,-25.14,-7.41,-7.34,0.04847,-83.13,RIGHT,4.28857E-02,68.15,3.30180E-01,-89.61
-165.00,15.00,-26.59,-7.79,-7.74,0.09797,-86.57,RIGHT,3.62875E-02,19.29,3.16074E-01,-101.81
-160.00,15.00,-24.37,-8.35,-8.25,0.15788,-89.39,RIGHT,4.68973E-02,-17.79,2.96362E-01,-111.57
-155.00,15.00,-22.04,-9.04,-8.83,0.22226,88.44,RIGHT,6.13205E-02,-35.48,2.73845E-01,-118.82
-150.00,15.00,-20.52,-9.81,-9.46,0.28597,86.78,RIGHT,7.30149E-02,-43.51,2.50544E-01,-123.29
-145.00,15.00,-19.65,-10.65,-10.13,0.34560,85.46,RIGHT,8.06696E-02,-45.96,2.27586E-01,-124.60
-140.00,15.00,-19.26,-11.53,-10.86,0.39937,84.36,RIGHT,8.44553E-02,-43.94,2.05447E-01,-122.31
-135.00,15.00,-19.21,-12.47,-11.64,0.44632,83.45,RIGHT,8.48690E-02,-37.49,1.84400E-01,-115.99
-130.00,15.00,-19.45,-13.44,-12.47,0.48573,82.91,RIGHT,8.25514E-02,-26.19,1.64945E-01,-105.29
-125.00,15.00,-19.89,-14.38,-13.30,0.51781,83.13,RIGHT,7.85489E-02,-9.55,1.48030E-01,-90.01
-120.00,15.00,-20.33,-15.19,-14.03,0.54530,84.53,RIGHT,7.45967E-02,12.70,1.34921E-01,-70.32
